#TYPE System.Management.Automation.PSCustomObject
"ServiceName","StartType","Status"
"NgcSvc","2",""
"NgcCtnrSvc","2",""
"swprv","2",""
"smphost","2",""
"InstallService","2",""
"SmsRouter","1",""
"NaturalAuthentication","1",""
"NetTcpPortSharing","1",""
"Netlogon","1",""
"NcdAutoSetup","1",""
"NcbService","2",""
"Netman","2",""
"NcaSVC","2",""
"netprofm","2",""
"NlaSvc","3",""
"NetSetupSvc","2",""
"nsi","3",""
"CscService","1",""
"ssh-agent","2",""
"defragsvc","2",""
"WpcMonSvc","1",""
"SEMgrSvc","1",""
"PNRPsvc","2",""
"p2psvc","2",""
"p2pimsvc","2",""
"PerfHost","2",""
"pla","2",""
"PhoneSvc","1",""
"PlugPlay","2",""
"PNRPAutoReg","2",""
"WPDBusEnum","2",""
"Power","3",""
"Spooler","3",""
"PrintNotify","2",""
"PrintWorkflowUserSvc_?????","2",""
"wercplsupport","2",""
"PcaSvc","3",""
"QWAVE","2",""
"RmSvc","2",""
"RasAuto","2",""
"RasMan","2",""
"SessionEnv","1",""
"TermService","1",""
"UmRdpService","1",""
"RpcSs","3",""
"RpcLocator","1",""
"RemoteRegistry","1",""
"RetailDemo","1",""
"RemoteAccess","1",""
"RpcEptMapper","3",""
"seclogon","2",""
"SstpSvc","2",""
"SamSs","3",""
"wscsvc","4",""
"SensorDataService","1",""
"SensrSvc","1",""
"SensorService","1",""
"LanmanServer","3",""
"shpamsvc","1",""
"ShellHWDetection","3",""
"SCardSvr","1",""
"ScDeviceEnum","1",""
"SCPolicySvc","1",""
"SNMPTRAP","1",""
"sppsvc","4",""
"SharedRealitySvc","2",""
"svsvc","2",""
"SSDPSRV","2",""
"StateRepository","2",""
"WiaRpc","2",""
"StorSvc","2",""
"TieringEngineService","2",""
"SysMain","3",""
"OneSyncSvc_?????","4",""
"SENS","3",""
"SystemEventsBroker","3",""
"SgrmBroker","4",""
"Schedule","3",""
"lmhosts","2",""
"TapiSrv","2",""
"Themes","3",""
"tiledatamodelsvc","2",""
"TimeBroker","2",""
"TabletInputService","1",""
"UsoSvc","2",""
"upnphost","2",""
"UserDataSvc_?????","2",""
"UnistoreSvc_?????","2",""
"UevAgentService","1",""
"UserManager","3",""
"ProfSvc","3",""
"vds","2",""
"VSS","2",""
"W3LOGSVC","2",""
"WalletService","2",""
"WarpJITSvc","2",""
"TokenBroker","2",""
"WebClient","1",""
"WFDSConSvc","1",""
"AudioSrv","3",""
"AudioEndpointBuilder","3",""
"SDRSVC","2",""
"WbioSrvc","2",""
"FrameServer","1",""
"wcncsvc","1",""
"Wcmsvc","3",""
"Sense","2",""
"WdNisSvc","2",""
"WinDefend","3",""
"MpsSvc","3",""
"SecurityHealthService","3",""
"WEPHOSTSVC","2",""
"WerSvc","2",""
"Wecsvc","2",""
"EventLog","3",""
"FontCache","3",""
"StiSvc","2",""
"wisvc","1",""
"msiserver","2",""
"LicenseManager","2",""
"Winmgmt","3",""
"WMPNetworkSvc","1",""
"icssvc","1",""
"TrustedInstaller","2",""
"spectrum","2",""
"WpnService","3",""
"WpnUserService_?????","3",""
"PushToInstall","2",""
"WinRM","1",""
"WSearch","4",""
"InstallService","2",""
"W32Time","2",""
"wuauserv","2",""
"WaaSMedicSvc","2",""
"WinHttpAutoProxySvc","2",""
"dot3svc","2",""
"WlanSvc","2",""
"wmiApSrv","2",""
"workfolderssvc","1",""
"LanmanWorkstation","3",""
"WwanSvc","1",""
"XboxGipSvc","2",""
"xbgm","2",""
"XblAuthManager","1",""
"XblGameSave","1",""
"XboxNetApiSvc","1",""
